NAME,TITLE,RATING,REVIEW
shailesh,"
Poor camera
",4,"

  3rd class front camera. 32 MP front camera n looks like 2mp front camera. In very disappointed  with this kind of front camera. Need refund.

"
surojit das,"
Faulty product
",5,"

  Dear Amazon & samsung you have broke my trust, Lot of noise in images while capturing photos in low light.Rear Camera getting blur in low light.

"
surojit das,"
False ads, poor camera quality, inefficient battery management
",1,"

  Lets just begin with the obvious. This phone's quality doesn't meet the claims made.Cons:1. Camera Quality: Picture quality is just awful. Its worse than a 8MP camera. The pixelization is obvious and it is definitely not a 64MP camera. Do not believe the claims Samsung might make. The quad camera is of no use as the macro camera reminds me of the decade when VGA cameras were common.2. Battery: Samsung may claim the battery will last for two days but it didnt last that long - no Netflix, Prime Video, heavy games being used. So that makes two of the biggest features useless.3. Amazon's Policy: In case you don't like the phone, Amazon has made sure you are stuck with it. The switch from 10 day ""return"" policy to 10 day ""replacement"" policy is dowright wrong! Hold onto the shutters physical mobile stores - your days are not over yet. When you do request for replacement, there is an inspection of the phone at buyer's site - which I understand but the fact that replacement will occur almost on the 10th day from my purchase still keeps me at unease.Pros:1. Display: The screen quality is good and has adjustment options for warm light and cold light.2. Performance: Streaming videos and playing heavy games was smooth for the first 4 days but then again Samsung is known for fast deterioration of performance, so I will keep my eyes and ears open.3. Sound: Speaker quality is okay but not upto the mark. In a noisy place you fail to hear the crispness and the boom.

"
viraj k.,"
Inferior quality and built
",1,"

  I am using it from 3 days , 6000 mah battery is just for name only, it work for 1-1.25 days only with moderate usage.64mp camera doesn't support zoom, camera doesn't support 60fps video recording.Build quality is not good, plastic back with lots of figure prints in few minutes handling, not look new in few seconds.Face unlock very slow.Heat issue which charging and heavy usageFull charge takes more than 3 hrsWould not recommend to buy , if you are looking  for good camera phonego with other brands like oppo or redmi , giving much better quality

"
Riddham Jain,"
Serious Issue
",1,"

  The phone was wrapped in dust. Although it was seal packed, still many dust were on screen and back side. It shows security concerns and Amazon, Samsung and seller must draw its attention. How dust can be reached in seal packed box? Now I'm lacking trust in Amazon,Samsung and seller. Either my phone was used or its components might have replaced, as in brand new phone,there exists no dusts because they are built in factory, but here shows how they are playing with the customer and their product.Phone is nice, large battery backup of more than 2 days, 6.4 display is big, camera is perfect and 6GB ram is enough for daily usage. All things are good. No heating issue.However my only concern is ""dust"" and how it came there if its brand new.So I could give 5 star,but now 1 is enough.Beware of Amazon,Samsung and seller.

"
Anshul,"
Not good at alll
",1,"

  Software is no working. No sounds in media, cant attend calls, every 5 mints phone gone to switched off and even though no retraining option.

"
Abhinav,"
Samsung it's not fair .
",1,"

  Phone camera is not good , samsung says it's 64 mega pixel but its photos like 8 megapixels .photo detailing are not good  . Also processor is not Upton the mark it's some time slow and hang in multi function use . While using keyboard , keyboard hide automatically for 1 second . My mobile variant is 6 GB 128 GB. Don't waste your time and money .

"
abin abraham,"
Worst phone
",1,"

  Camera front is worst, not up to the mark. Waste of money. ,

"
Akshaykumar Patil,"
Bad Product by Samsung
",1,"

  Not a Samsung performance. It seems it was launched without proper test n trials. I already had M30 so decided to buy M31 (6GB). But got shocked to see the poor performance n battery life. The 64MP images can't be sent easily to someone on WhatsApp. Camera give errors now n then. Battery life worst then M30 which has 5000mh. Mobile heats on charging.

"
Veerababu Puli,"
M31 was worst phone with camera quality.. front is 8 MP and back 16 MP
",2,"

  I purchased this phone by seeing 64 MP for camera usage but M31 was the worst phone with camera quality.. Front camera is 8 and back camera was 16 MP not more that that.. there is no return option only replacement(Good game was playing by samsung &Amazon) please dont buy this mobile and dont waste your money... Heating problem while charging.. etc  i am really  very frustrated with this phone quality.. i lost my money by buying this phone..😔😔😪

"
shailesh,"
Average product
",4,"

  Average

"
surojit das,"
Wast phone
",5,"

  Phone is very slow my opinion is west ur money

"
Ajas Khan.j,"
Faulty selfie camera, video playback lagging no money back
",1,"

  I purchased this as soon as it was launched and its one of the worst decision that i made. Selfie camera is blurry and clicks yellow pictures, phone lags in playback video, all of a sudden, video will disappear and only sound continues to play, back camera isn't that great as hyped, its very low in quality, body of the phone is more like a plastic and very low quality material, overall very dis-satisfied with the product. Amazon has agreed post diagnosis saying its a faulty piece  but does not give refund

"
G Yella Reddy,"
QUALITY IS NOT SATISFIED
",1,"

  Not satisfied with the qualityDisplay quality is no adequateBody is made of plastic like materialI was using MI like 6 plus pro then 7 plus proFor a change I have purchased this product, the quality is not up to the mark when comparing to my old redmi note seriesThe sound quality is very worst.While making call with full volume it is not clear from the day of purchase.I am planning to go back to MI againWorst phone pls don't buyNot value for money

"
Bushra Sultan,"
Waste mobile waste online seller
",1,"

  One of worst mobile and one of the worst brand. Better to purchase any other brand except Samsung.1. Heating issue2. Second sim works on 3g.3. Even its 6Gb ram works like 2gb ram phone.When I called amazon customer care they said I have to go to service center for this and they are telling to check through app.Its a f***ing phone please please please don't waste your money.And this is my last ever purchase from amazon.

"
Amazon Customer,"
Too narrow and long. Little overpriced. Not very ergonomic. Average sound, defective piece.
",1,"

  Cons:Button position (power& volume) too highFingerprint reader too highHeats up a lot.Though the battery capacity is high, battery drains fast.A lot of bloatware. Removed loads of stuff, tons still left.A full charge with original charger and original cable (which is quite short) from 0-100 took 2 hours & 28 minutesSpeaker volume low.The receiver causes voice drop in phonecalls.Pros:Feels lightweightNice display.The camera is decent.Update 1:Drained the battery to 0% and switched it off and charged to 100% and the battery seems to hold charge longer.Update 2:Outgoing voice gets cut for a few seconds at a time consistently. Going to request a replacement.Update 3:Returned my M31, found the voice unclear and faced voice drop. When I put my SIM card into my old Moto G5S+ the recipient immediately recognizes the much better voice quality. I have to put the call on 100% volume to be able to hear at least a bit.

"
Vinayaka,"
Performance issue
",1,"

  I bought this mobile in last Friday , it is not working from 6th day.  Unable to receive calls and if unexpectedly I received a call not getting  sound and I can't here the opposite person voice or my voice to them. When I try to call someone automatically network is getting disconnected and it's reconnecting automatically in few minutes. I expect this might be  software issue , I have gone through lot of reviews ,maximum number of people who buyed this mobile facing this issue.Unable to replace the mobile also as it is not showing any option to me.

"
JoeKidd,"
I PURCHASE 6GB 128GB
",1,"

  UNTILL I AM USING REDMI NOTE 7 PROI WANT TO PURCHASE POCO X2 BUT BECAUSE OF IS FLASH SALEIT OUT OF STOCKI AM USING SAM M31 FROM LAST 5 DAYS OVERALL MY IMPRESSION IS  ITS 6000MH BATTERY1  SUPER AMOLED DISPLAY AT THIS PRICE2  64 MP CAMERA3  PHONES PERFORMANCE IS VERY SLOW4  I CAN NOT SINE ANY DRAMATIC CHANDE IN CAMERA QUALITY IN THIS PHONE5  SAMSUNG HAS TO WORK IN OPTEMISSING SOFTWARE TO INCREASE THE PHONES PERFORMANCE6  REDMI NOTE 7 PRO BOOTS FASTER THAN SAM M31

"
Venkat,"
Heat and charging and camera issue on M31
",2,"

  Worst mobile was I got , Samsung m31 taking more time for charging 100% , it's almost 4 hours for charging , and after that 20 hours battery I'll train 0% its waste of time compare to other fast charging mobile , and camera worst

"
